pcode,year,junaug_mm,n_days
NE004005,2022,428.75587853462,91
NE004005,2023,370.6252457738,91
NE004005,2024,410.77154144297,91
NE004005,2025,553.7524199801101,91
NE004005,2026,429.53068259767997,90
NE004006,1998,547.102939021407,91
NE004006,1999,377.17888808600003,91
NE004006,2000,487.52429446009,91
NE004006,2001,500.18503444363,91
NE004006,2002,450.09097424413,91
NE004006,2003,454.95560775826,91
NE004006,2004,402.262735124807,91
NE004006,2005,447.71696243033,91
NE004006,2006,439.7618330092,91
NE004006,2007,453.055279533307,91
NE004006,2008,303.33949957299,91
NE004006,2009,367.9741701341,91
NE004006,2010,659.659487225447,91
NE004006,2011,394.19023814465,91
NE004006,2012,445.8349895439,91
NE004006,2013,380.62396238098,91
NE004006,2014,256.7468399307,91
NE004006,2015,477.43994771974,91
NE004006,2016,378.54204184,91
NE004006,2017,460.0541357035,91
NE004006,2018,523.00441661515,91
NE004006,2019,439.16359835089,91
NE004006,2020,471.81543867786,91
NE004006,2021,458.4301139375,91
NE004006,2022,466.16998852882,91
NE004006,2023,468.84691632166,91
NE004006,2024,440.74462256515,91
NE004006,2025,615.893302201457,91
NE004006,2026,449.448187133184,90
NE004007,1998,491.517492004,91
NE004007,1999,344.634991594,91
NE004007,2000,481.799985393,91
NE004007,2001,477.067489255,91
NE004007,2002,446.444996261,91
NE004007,2003,464.529990554,91
NE004007,2004,332.797492232,91
NE004007,2005,419.394989998,91
NE004007,2006,438.56748682,91
NE004007,2007,383.04498315,91
NE004007,2008,226.604995543,91
NE004007,2009,368.899985535,91
NE004007,2010,579.8024837,91
NE004007,2011,377.009995221,91
NE004007,2012,360.109999048,91
NE004007,2013,348.847492475,91
NE004007,2014,286.77999956,91
NE004007,2015,400.89248580000003,91
NE004007,2016,360.27999735000003,91
NE004007,2017,426.149982462,91
NE004007,2018,449.022496233,91
NE004007,2019,400.457493218,91
NE004007,2020,410.832496489,91
NE004007,2021,415.552489258,91
NE004007,2022,455.285002973,91
NE004007,2023,402.667491387,91
NE004007,2024,443.299991956,91
NE004007,2025,596.22999125,91
NE004007,2026,427.70498101199996,90
NE004008,1998,439.566378750547,91
NE004008,1999,345.217761314323,91
NE004008,2000,321.35352185369,91
NE004008,2001,524.493993985632,91
NE004008,2002,326.547366614367,91
NE004008,2003,375.692343827907,91
NE004008,2004,394.76960106852,91
NE004008,2005,407.017803135853,91
NE004008,2006,290.465842936144,91
NE004008,2007,331.798888104104,91
NE004008,2008,239.483729089094,91
NE004008,2009,279.353842524037,91
NE004008,2010,341.790689982844,91
NE004008,2011,352.50897954999,91
NE004008,2012,330.188426154221,91
NE004008,2013,303.65361031566,91
NE004008,2014,286.134188644054,91
NE004008,2015,367.228194104047,91
NE004008,2016,252.98640162374102,91
NE004008,2017,397.148706991003,91
NE004008,2018,398.830270469923,91
NE004008,2019,350.20568505465,91
NE004008,2020,313.541929206713,91
NE004008,2021,322.61282994163,91
NE004008,2022,385.818168864347,91
NE004008,2023,353.24162847002,91
NE004008,2024,449.843673404987,91
NE004008,2025,506.06652883168,91
NE004008,2026,323.82243669577,90
